Example	Rank
1	2,1,3
2	1,3,2
3	1,2,3
4	2,1,3
5	1,2,3
6	1,2,3
7	1,2,3
8	2,1,3
9	1,2,3
10	1,2,3
11	1,2,3
12	2,1,3
13	2,1,3
14	1,2,3
15	1,2,3
16	1,2,3
17	2,1,3
18	2,1,3
19	1,2,3
20	1,2,3
21	2,1,3
22	1,2,3
23	1,2,3
24	1,2,3
25	1,3,2
26	1,2,3
27	2,1,3
28	1,2,3
29	1,2,3
30	3,1,2
31	1,2,3
32	2,1,3
33	3,1,2
34	2,1,3
35	1,2,3
36	2,3,1
37	1,3,2
38	1,2,3
39	2,1,3
40	2,1,3
41	2,1,3
42	1,2,3
43	1,2,3
44	1,2,3
45	2,1,3
46	2,1,3
47	2,1,3
48	1,2,3
49	2,1,3
50	2,1,3
